,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,accommodates,host_is_superhost,host_response_rate,host_response_time,listing_url,maximum_nights,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,distancia
0,41339,Porto city flat near the sea,180050.0,Paula,PORTO,Lordelo do Ouro e Massarelos,41.1501,-8.66035,Entire home/apt,60.0,2.0,20.0,2022-07-28,0.17,1.0,93.0,3.0,29049/AL,5.0,f,0.0,nan,https://www.airbnb.com/rooms/41339,120.0,Entire rental unit,4.7,4.85,4.9,4.8,4.55,4.7,4.65,4.140762212991071
3,86388,A Formosa - a nest made for two,185209.0,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14918,-8.60922,Private room,33.0,2.0,194.0,2022-11-27,1.37,8.0,314.0,45.0,6995/AL,2.0,t,100.0,within an hour,https://www.airbnb.com/rooms/86388,31.0,Private room in rental unit,4.76,4.93,4.65,4.93,4.87,4.74,4.76,0.14821541635532268
4,87873,Oporto Apartment Triplex,480980.0,Paula,PORTO,Bonfim,41.15786,-8.60427,Entire home/apt,64.0,3.0,225.0,2022-11-24,1.74,3.0,281.0,31.0,634/AL,4.0,t,100.0,within an hour,https://www.airbnb.com/rooms/87873,14.0,Entire rental unit,4.87,4.97,4.89,4.94,4.51,4.79,4.81,1.0731780782452351
5,91439,A Formosa 2 -The red sofa room,185209.0,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14908,-8.60905,Private room,35.0,2.0,191.0,2022-11-27,1.35,8.0,324.0,40.0,6995/AL,2.0,t,100.0,within an hour,https://www.airbnb.com/rooms/91439,1125.0,Private room in rental unit,4.86,4.89,4.75,4.93,4.88,4.78,4.76,0.16533952483836817
6,400134,Studio 4,1997241.0,Studios,PORTO,Bonfim,41.15215,-8.60375,Entire home/apt,67.0,3.0,12.0,2021-10-27,0.1,8.0,359.0,0.0,6688-AL,4.0,f,100.0,within an hour,https://www.airbnb.com/rooms/400134,30.0,Entire rental unit,4.33,4.42,4.67,4.33,4.58,4.18,4.42,0.6624066728944974
7,738602,Clérigos Downtown - Historic Center,2220420.0,Tomás,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14581,-8.61272,Entire home/apt,134.0,2.0,413.0,2022-11-28,3.35,8.0,233.0,57.0,28177/AL,7.0,f,100.0,within an hour,https://www.airbnb.com/rooms/738602,365.0,Entire rental unit,4.81,4.84,4.82,4.87,4.88,4.72,4.76,0.44813541175288696
8,94701,Big TERRACE APARTMENT / city center,505473.0,Gundega & Antonio,PORTO,Bonfim,41.14707,-8.60109,Entire home/apt,68.0,3.0,288.0,2022-10-23,2.04,1.0,365.0,3.0,85541/AL,3.0,f,100.0,within an hour,https://www.airbnb.com/rooms/94701,365.0,Entire rental unit,4.85,4.94,4.85,4.97,4.84,4.77,4.77,0.8682385491875358
9,746214,Great room in Oporto's centre WIFI,2861881.0,Sofia & Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14849,-8.60406,Private room,51.0,2.0,46.0,2019-05-02,0.39,6.0,0.0,0.0,AL 52876,5.0,f,100.0,within an hour,https://www.airbnb.com/rooms/746214,1124.0,Private room in home,4.84,4.69,4.84,4.68,4.76,4.75,4.75,0.585860994817892
10,403114,Blue Oporto Home River Front - Ribeira,2010935.0,Diana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.13899,-8.6151,Entire home/apt,88.0,2.0,141.0,2022-11-23,1.1,13.0,243.0,7.0,6852/AL,4.0,t,97.0,within an hour,https://www.airbnb.com/rooms/403114,270.0,Entire rental unit,4.93,4.92,4.96,4.96,4.98,4.95,4.88,1.2310820077083138
11,96394,Boat Blue Days,511741.0,Manuel,VILA NOVA DE GAIA,Canidelo,41.1411,-8.65148,Entire home/apt,214.0,1.0,10.0,2022-06-13,0.13,1.0,364.0,2.0,90/2015,4.0,f,0.0,a few days or more,https://www.airbnb.com/rooms/96394,5.0,Boat,5.0,5.0,5.0,5.0,5.0,5.0,4.9,3.5269491440389054
