count_of_Comments,RANGE,Sentiment
1087,0.0,positive
8421,0.1,positive
27583,0.2,positive
56979,0.3,positive
75217,0.4,positive
68253,0.5,positive
46221,0.6,positive
28462,0.7,positive
9881,0.8,positive
2150,0.9,positive
52254,0.0,negative
11858,0.1,negative
1809,0.2,negative
373,0.3,negative
121,0.4,negative
33,0.5,negative
20,0.6,negative
18,0.7,negative
2,0.8,negative
1,0.9,negative
450,0.0,neutral
10686,0.1,neutral
29187,0.2,neutral
49877,0.3,neutral
74208,0.4,neutral
79389,0.5,neutral
53932,0.6,neutral
20888,0.7,neutral
4215,0.8,neutral
